name,datetime,lat,lng,direction,wind_speed
ヨット艇庫,2024-09-01 12:00:00,35.28265,136.24581,269,0.29
ヨット艇庫,2024-09-01 12:01:00,35.28265,136.24581,103,5.14
ヨット艇庫,2024-09-01 12:02:00,35.28265,136.24581,238,3.93
ヨット艇庫,2024-09-01 12:03:00,35.28265,136.24581,304,2.85
ヨット艇庫,2024-09-01 12:04:00,35.28265,136.24581,139,9.5
学生寮屋上,2024-09-01 12:00:00,35.27558,136.23614,177,3.89
学生寮屋上,2024-09-01 12:01:00,35.27558,136.23614,166,8.92
学生寮屋上,2024-09-01 12:02:00,35.27558,136.23614,8,0.57
学生寮屋上,2024-09-01 12:03:00,35.27558,136.23614,305,1.3
学生寮屋上,2024-09-01 12:04:00,35.27558,136.23614,102,7.42
前川さん宅,2024-09-01 12:00:00,35.28959,136.25305,245,4.83
前川さん宅,2024-09-01 12:01:00,35.28959,136.25305,231,4.08
前川さん宅,2024-09-01 12:02:00,35.28959,136.25305,324,5.36
前川さん宅,2024-09-01 12:03:00,35.28959,136.25305,70,6.7
前川さん宅,2024-09-01 12:04:00,35.28959,136.25305,211,3.18
ウィンドサーフィン部艇庫,2024-09-01 12:00:00,35.29274,136.25597,263,3.66
ウィンドサーフィン部艇庫,2024-09-01 12:01:00,35.29274,136.25597,124,1.53
ウィンドサーフィン部艇庫,2024-09-01 12:02:00,35.29274,136.25597,44,0.33
ウィンドサーフィン部艇庫,2024-09-01 12:03:00,35.29274,136.25597,360,9.91
ウィンドサーフィン部艇庫,2024-09-01 12:04:00,35.29274,136.25597,71,5.8
